load,temp,hum,wind,hour,dow,holiday,regime
926.2087654204382,15.88808206997524,60.09852575220348,4.632967459352877,0,0,0,0
1053.8537067114128,17.85935643994876,68.11227904433679,4.068382828288335,1,0,0,0
989.3504046730054,12.880854232018386,67.0813157012395,4.128091925493081,2,0,0,0
1070.9219210068488,12.681073945745663,73.51073489900695,5.4375246699695445,3,0,0,0
1029.1653527672563,13.73688652500773,65.27179837776487,5.24487887556427,4,0,0,0
1067.078522510978,12.724420913360525,69.93435283230802,5.216309611560484,5,0,0,0
1140.9538752162107,9.139908817402913,72.53338093410146,4.8820003728536845,6,0,0,0
1174.096537671091,8.427957662126957,65.47022978650226,4.472823329518619,7,0,0,0
1151.860129461379,13.163927958269522,62.37079151756342,5.652056053204581,8,0,0,0
1057.3562060548688,18.24617519183024,55.672670700709816,4.934865165885645,9,0,0,0
1178.0550268118284,11.095547151339337,68.16928157454953,6.652906684187,10,0,0,0
1223.1617451037541,10.028657901006756,58.86538199076216,5.4881553508796594,11,0,0,0
1184.3270945299112,13.73753583520403,53.13065931522989,6.093286806290744,12,0,0,0
1192.503377108562,17.71735221381124,54.38757497708505,5.742203674213204,13,0,0,0
1163.0648099241741,8.026235224283695,40.409154440839515,5.645557412961419,14,0,0,0
1052.4165083705946,10.584173238459254,45.312553858264565,5.0660116720520545,15,0,0,0
1139.537666052564,16.94893479991815,48.66637755586527,5.167687694369839,16,0,0,0
1036.2736682179327,18.613514932142753,56.7466598623781,5.014398277658219,17,0,0,0
1010.8643515639885,14.126066870765813,57.30964724256729,5.31268640066877,18,0,0,0
1039.0114662857045,9.456634555914764,47.73942376523234,4.911018862483464,19,0,0,0
951.131096375542,13.142836046722199,53.02400515399439,5.299412446192541,20,0,0,0
985.3159658098701,13.44758096116466,55.410960543270846,4.5943994605787,21,0,0,0
921.3296782960246,9.532406453080625,60.05355147173687,4.480837214549557,22,0,0,0
954.6062776458347,17.053999278806735,68.71821541530419,4.907270706950234,23,0,0,0
953.1894417390797,14.771874904587458,59.54791272107883,3.2421159356589686,0,1,0,0
964.1568322483134,13.662916824826484,75.57162445028167,5.051282465903072,1,1,0,0
968.3072429084878,16.20394128893425,66.1932004534729,4.3512514745851885,2,1,0,0
1033.7568889052561,13.272707255017188,72.2482593247674,4.33700343954737,3,1,0,0
1072.1443719388292,14.169477667010161,74.65985346295713,5.253643878851479,4,1,0,0
